Country,Agent,Address,PropertyType,Price,Units,Link
 Co. Dublin,Moovingo,"2 Boyd Avenue, Honeypark, Dun Laoghaire, Co. Dublin",Semi-D,"€965,000",1,https://www.daft.ie/for-sale/semi-detached-house-2-boyd-avenue-honeypark-dun-laoghaire-co-dublin/5277362
 Co. Louth,Giles Belton,"Knockatober, Dunleer, Co. Louth",Detached,"€495,000",1,https://www.daft.ie/for-sale/detached-house-knockatober-dunleer-co-louth/4720580
 Dublin 16,Fair Deal Property - Dublin,"34 Ballintyre Meadows, Ballinteer, Ballinteer, Dublin 16",Apartment,"€385,000",1,https://www.daft.ie/for-sale/apartment-34-ballintyre-meadows-ballinteer-ballinteer-dublin-16/5286712
 Co. Cork,Dan Howard MIPAV TRV PSR 006328,"Crag Lodge, Church Road, Carrigaline, Co. Cork",Detached,"€650,000",1,https://www.daft.ie/for-sale/detached-house-crag-lodge-church-road-carrigaline-co-cork/5279820
 Co. Laois,Kate O' Shea,"Cloneygowan, Portarlington, Co. Laois",Semi-D,"€268,000",1,https://www.daft.ie/for-sale/semi-detached-house-cloneygowan-portarlington-co-laois/5188683
 Dublin 5,Oisin McCormack,"69 Kilbarron Park, Kilmore, Kilmore, Dublin 5",Terrace,"€340,000",1,https://www.daft.ie/for-sale/terraced-house-69-kilbarron-park-kilmore-kilmore-dublin-5/4494954
 Co. Galway,Fair Deal Property - Galway City,"Knockmoyle East, Kylebrack East, Loughrea, Co. Galway",Detached,"€375,000",1,https://www.daft.ie/for-sale/detached-house-knockmoyle-east-kylebrack-east-loughrea-co-galway/4738322
 Co. Galway,Shane Heskin,"Chestnut Lane, Dangan, Co. Galway",Detached,"€2,300,000",1,https://www.daft.ie/for-sale/detached-house-chestnut-lane-dangan-co-galway/4737267
 Co. Cork,Dermot Lynch MIPAV PSR 007203,"8 The Grove, Gleann Na Ri, Tower, Co. Cork",Bungalow,"€350,000",1,https://www.daft.ie/for-sale/bungalow-8-the-grove-gleann-na-ri-tower-co-cork/4725015
 Dublin 15,John Newcombe MIPAV 002173,"67 Park Drive Avenue, Castleknock, Castleknock, Dublin 15",Terrace,"€550,000",1,https://www.daft.ie/for-sale/terraced-house-67-park-drive-avenue-castleknock-castleknock-dublin-15/4709324
 Co. Cork,Dermot Lynch MIPAV PSR 007203,"Apartment 10, South Quay, The Maltings, Midleton, Co. Cork",Townhouse,"€235,000",1,https://www.daft.ie/for-sale/townhouse-apartment-10-south-quay-the-maltings-midleton-co-cork/4689008
 Co. Galway,Fair Deal Property - Tuam,"Ardour, Kilconly, Tuam, Co. Galway",Detached,"€550,000",1,https://www.daft.ie/for-sale/detached-house-ardour-kilconly-tuam-co-galway/4679241
 Co. Donegal,Martin Terry,"Corcreggan, Dunfanaghy, Co. Donegal",Detached,"€380,000",1,https://www.daft.ie/for-sale/detached-house-corcreggan-dunfanaghy-co-donegal/4676990
 Co. Donegal,Martin Terry,"Ards Beg, Gortahork, Co. Donegal",Detached,"€250,000",1,https://www.daft.ie/for-sale/detached-house-ards-beg-gortahork-co-donegal/4667393
 Dublin 3,Richard Todd,"109 Clonliffe Avenue, Dublin 3",Terrace,"€310,000",1,https://www.daft.ie/for-sale/terraced-house-109-clonliffe-avenue-dublin-3/4642550
 Co. Donegal,Martin Terry,"Roshine Acres, Burtonport, Co. Donegal",Detached,"€215,000",1,https://www.daft.ie/for-sale/detached-house-roshine-acres-burtonport-co-donegal/3789909
 Co. Galway,Fair Deal Property - Galway City,"Kiltrasna House, Kiltrasna, Headford, Co. Galway",Detached,"€695,000",1,https://www.daft.ie/for-sale/detached-house-kiltrasna-house-kiltrasna-headford-co-galway/3999777
 Co. Cork,Josie,"12 Barrack Street, Kinsale, Co. Cork",End of Terrace,"€375,000",1,https://www.daft.ie/for-sale/end-of-terrace-house-12-barrack-street-kinsale-co-cork/4487093
 Co. Wicklow,James Gormley Auctioneers,"Cala Vinas, 49 Marlton Park, Wicklow Town, Co. Wicklow",Detached,"€560,000",1,https://www.daft.ie/for-sale/detached-house-cala-vinas-49-marlton-park-wicklow-town-co-wicklow/5299622
 Co. Wexford,Jack Quinn,"72 The Heath, Ramsgate Village, Gorey, Co. Wexford",Terrace,"€210,000",1,https://www.daft.ie/for-sale/terraced-house-72-the-heath-ramsgate-village-gorey-co-wexford/4601241
 Co. Longford,Jackie White MIPAV,"Barry, Ballymahon, Co. Longford",Bungalow,"€189,000",1,https://www.daft.ie/for-sale/bungalow-barry-ballymahon-co-longford/5293266
 Co. Galway,John Dolan,"13 Seacrest, Knocknacarra, Knocknacarra, Co. Galway",Detached,"€525,000",1,https://www.daft.ie/for-sale/detached-house-13-seacrest-knocknacarra-knocknacarra-co-galway/5294531
 Co. Galway,John Dolan,"Perssepark, Ballinasloe, Co. Galway",Detached,"€595,000",1,https://www.daft.ie/for-sale/detached-house-perssepark-ballinasloe-co-galway/5274653
 Co. Cork,Mark Rose,"San Marco, 28 Endsleigh Estate, Douglas, Co. Cork",Semi-D,"€520,000",1,https://www.daft.ie/for-sale/semi-detached-house-san-marco-28-endsleigh-estate-douglas-co-cork/5294233
 Co. Meath,Fintan Cahill,"Church Road, Moate, Oldcastle, Co. Meath",Detached,"€650,000",1,https://www.daft.ie/for-sale/detached-house-church-road-moate-oldcastle-co-meath/5292114
 Co. Wicklow,Stephen Clarke,"Edendale, Kilbride, Co. Wicklow",Detached,"€1,350,000",1,https://www.daft.ie/for-sale/detached-house-edendale-kilbride-co-wicklow/5292070
 Co. Waterford,Jim Cantwell PSR 001324-001375,"1 Marian Terrace, Dunmore East, Co. Waterford",Semi-D,"€620,000",1,https://www.daft.ie/for-sale/semi-detached-house-1-marian-terrace-dunmore-east-co-waterford/5284331
